name,category,group,htmlCode,unicode
grinning face,smileys and people,face positive,['&#128512;'],['U+1F600']
grinning face with smiling eyes,smileys and people,face positive,['&#128513;'],['U+1F601']
face with tears of joy,smileys and people,face positive,['&#128514;'],['U+1F602']
rolling on the floor laughing,smileys and people,face positive,['&#129315;'],['U+1F923']
smiling face with open mouth,smileys and people,face positive,['&#128515;'],['U+1F603']
smiling face with open mouth and smiling eyes ≊ smiling face with open mouth ,smileys and people,face positive,['&#128516;'],['U+1F604']
smiling face with open mouth and cold sweat ≊ smiling face with open mouth ,smileys and people,face positive,['&#128517;'],['U+1F605']
smiling face with open mouth and tightly-closed eyes ≊ smiling face with open mouth ,smileys and people,face positive,['&#128518;'],['U+1F606']
winking face,smileys and people,face positive,['&#128521;'],['U+1F609']
smiling face with smiling eyes,smileys and people,face positive,['&#128522;'],['U+1F60A']
face savouring delicious food,smileys and people,face positive,['&#128523;'],['U+1F60B']
smiling face with sunglasses,smileys and people,face positive,['&#128526;'],['U+1F60E']
smiling face with heart-shaped eyes ≊ smiling face with heart-eyes,smileys and people,face positive,['&#128525;'],['U+1F60D']
face throwing a kiss,smileys and people,face positive,['&#128536;'],['U+1F618']
kissing face,smileys and people,face positive,['&#128535;'],['U+1F617']
kissing face with smiling eyes,smileys and people,face positive,['&#128537;'],['U+1F619']
kissing face with closed eyes,smileys and people,face positive,['&#128538;'],['U+1F61A']
white smiling face ≊ smiling face,smileys and people,face positive,['&#9786;'],['U+263A']
slightly smiling face,smileys and people,face positive,['&#128578;'],['U+1F642']
hugging face,smileys and people,face positive,['&#129303;'],['U+1F917']
thinking face,smileys and people,face neutral,['&#129300;'],['U+1F914']
neutral face,smileys and people,face neutral,['&#128528;'],['U+1F610']
expressionless face,smileys and people,face neutral,['&#128529;'],['U+1F611']
face without mouth,smileys and people,face neutral,['&#128566;'],['U+1F636']
face with rolling eyes,smileys and people,face neutral,['&#128580;'],['U+1F644']
smirking face,smileys and people,face neutral,['&#128527;'],['U+1F60F']
persevering face,smileys and people,face neutral,['&#128547;'],['U+1F623']
disappointed but relieved face,smileys and people,face neutral,['&#128549;'],['U+1F625']
face with open mouth,smileys and people,face neutral,['&#128558;'],['U+1F62E']
zipper-mouth face,smileys and people,face neutral,['&#129296;'],['U+1F910']
hushed face,smileys and people,face neutral,['&#128559;'],['U+1F62F']
sleepy face,smileys and people,face neutral,['&#128554;'],['U+1F62A']
tired face,smileys and people,face neutral,['&#128555;'],['U+1F62B']
sleeping face,smileys and people,face neutral,['&#128564;'],['U+1F634']
relieved face,smileys and people,face neutral,['&#128524;'],['U+1F60C']
nerd face,smileys and people,face neutral,['&#129299;'],['U+1F913']
face with stuck-out tongue,smileys and people,face neutral,['&#128539;'],['U+1F61B']
face with stuck-out tongue and winking eye ≊ face with stuck-out tongue ,smileys and people,face neutral,['&#128540;'],['U+1F61C']
face with stuck-out tongue and tightly-closed eyes ≊ face with stuck-out tongue ,smileys and people,face neutral,['&#128541;'],['U+1F61D']
drooling face,smileys and people,face neutral,['&#129316;'],['U+1F924']
unamused face,smileys and people,face neutral,['&#128530;'],['U+1F612']
face with cold sweat,smileys and people,face neutral,['&#128531;'],['U+1F613']
pensive face,smileys and people,face neutral,['&#128532;'],['U+1F614']
confused face,smileys and people,face neutral,['&#128533;'],['U+1F615']
upside-down face,smileys and people,face neutral,['&#128579;'],['U+1F643']
money-mouth face,smileys and people,face neutral,['&#129297;'],['U+1F911']
astonished face,smileys and people,face neutral,['&#128562;'],['U+1F632']
white frowning face ≊ frowning face,smileys and people,face negative,['&#9785;'],['U+2639']
slightly frowning face,smileys and people,face negative,['&#128577;'],['U+1F641']
confounded face,smileys and people,face negative,['&#128534;'],['U+1F616']
disappointed face,smileys and people,face negative,['&#128542;'],['U+1F61E']
worried face,smileys and people,face negative,['&#128543;'],['U+1F61F']
face with look of triumph ≊ face with steam from nose,smileys and people,face negative,['&#128548;'],['U+1F624']
