slug,character,unicodeName,codePoint,group,subGroup,variants
e1-0-grinning-face,😀,E1.0 grinning face,1F600,smileys-emotion,face-smiling,
e0-6-grinning-face-with-big-eyes,😃,E0.6 grinning face with big eyes,1F603,smileys-emotion,face-smiling,
e0-6-grinning-face-with-smiling-eyes,😄,E0.6 grinning face with smiling eyes,1F604,smileys-emotion,face-smiling,
e0-6-beaming-face-with-smiling-eyes,😁,E0.6 beaming face with smiling eyes,1F601,smileys-emotion,face-smiling,
e0-6-grinning-squinting-face,😆,E0.6 grinning squinting face,1F606,smileys-emotion,face-smiling,
e0-6-grinning-face-with-sweat,😅,E0.6 grinning face with sweat,1F605,smileys-emotion,face-smiling,
e3-0-rolling-on-the-floor-laughing,🤣,E3.0 rolling on the floor laughing,1F923,smileys-emotion,face-smiling,
e0-6-face-with-tears-of-joy,😂,E0.6 face with tears of joy,1F602,smileys-emotion,face-smiling,
e1-0-slightly-smiling-face,🙂,E1.0 slightly smiling face,1F642,smileys-emotion,face-smiling,
e1-0-upside-down-face,🙃,E1.0 upside-down face,1F643,smileys-emotion,face-smiling,
e14-0-melting-face,🫠,E14.0 melting face,1FAE0,smileys-emotion,face-smiling,
e0-6-winking-face,😉,E0.6 winking face,1F609,smileys-emotion,face-smiling,
e0-6-smiling-face-with-smiling-eyes,😊,E0.6 smiling face with smiling eyes,1F60A,smileys-emotion,face-smiling,
e1-0-smiling-face-with-halo,😇,E1.0 smiling face with halo,1F607,smileys-emotion,face-smiling,
e11-0-smiling-face-with-hearts,🥰,E11.0 smiling face with hearts,1F970,smileys-emotion,face-affection,
e0-6-smiling-face-with-heart-eyes,😍,E0.6 smiling face with heart-eyes,1F60D,smileys-emotion,face-affection,
e5-0-star-struck,🤩,E5.0 star-struck,1F929,smileys-emotion,face-affection,
e0-6-face-blowing-a-kiss,😘,E0.6 face blowing a kiss,1F618,smileys-emotion,face-affection,
e1-0-kissing-face,😗,E1.0 kissing face,1F617,smileys-emotion,face-affection,
e0-6-smiling-face,☺️,E0.6 smiling face,263A FE0F,smileys-emotion,face-affection,
e0-6-kissing-face-with-closed-eyes,😚,E0.6 kissing face with closed eyes,1F61A,smileys-emotion,face-affection,
e1-0-kissing-face-with-smiling-eyes,😙,E1.0 kissing face with smiling eyes,1F619,smileys-emotion,face-affection,
e13-0-smiling-face-with-tear,🥲,E13.0 smiling face with tear,1F972,smileys-emotion,face-affection,
e0-6-face-savoring-food,😋,E0.6 face savoring food,1F60B,smileys-emotion,face-tongue,
e1-0-face-with-tongue,😛,E1.0 face with tongue,1F61B,smileys-emotion,face-tongue,
e0-6-winking-face-with-tongue,😜,E0.6 winking face with tongue,1F61C,smileys-emotion,face-tongue,
e5-0-zany-face,🤪,E5.0 zany face,1F92A,smileys-emotion,face-tongue,
e0-6-squinting-face-with-tongue,😝,E0.6 squinting face with tongue,1F61D,smileys-emotion,face-tongue,
e1-0-money-mouth-face,🤑,E1.0 money-mouth face,1F911,smileys-emotion,face-tongue,
e1-0-smiling-face-with-open-hands,🤗,E1.0 smiling face with open hands,1F917,smileys-emotion,face-hand,
e5-0-face-with-hand-over-mouth,🤭,E5.0 face with hand over mouth,1F92D,smileys-emotion,face-hand,
e14-0-face-with-open-eyes-and-hand-over-mouth,🫢,E14.0 face with open eyes and hand over mouth,1FAE2,smileys-emotion,face-hand,
e14-0-face-with-peeking-eye,🫣,E14.0 face with peeking eye,1FAE3,smileys-emotion,face-hand,
e5-0-shushing-face,🤫,E5.0 shushing face,1F92B,smileys-emotion,face-hand,
e1-0-thinking-face,🤔,E1.0 thinking face,1F914,smileys-emotion,face-hand,
e14-0-saluting-face,🫡,E14.0 saluting face,1FAE1,smileys-emotion,face-hand,
e1-0-zipper-mouth-face,🤐,E1.0 zipper-mouth face,1F910,smileys-emotion,face-neutral-skeptical,
e5-0-face-with-raised-eyebrow,🤨,E5.0 face with raised eyebrow,1F928,smileys-emotion,face-neutral-skeptical,
e0-7-neutral-face,😐,E0.7 neutral face,1F610,smileys-emotion,face-neutral-skeptical,
e1-0-expressionless-face,😑,E1.0 expressionless face,1F611,smileys-emotion,face-neutral-skeptical,
e1-0-face-without-mouth,😶,E1.0 face without mouth,1F636,smileys-emotion,face-neutral-skeptical,
e14-0-dotted-line-face,🫥,E14.0 dotted line face,1FAE5,smileys-emotion,face-neutral-skeptical,
e13-1-face-in-clouds,😶‍🌫️,E13.1 face in clouds,1F636 200D 1F32B FE0F,smileys-emotion,face-neutral-skeptical,
e0-6-smirking-face,😏,E0.6 smirking face,1F60F,smileys-emotion,face-neutral-skeptical,
e0-6-unamused-face,😒,E0.6 unamused face,1F612,smileys-emotion,face-neutral-skeptical,
e1-0-face-with-rolling-eyes,🙄,E1.0 face with rolling eyes,1F644,smileys-emotion,face-neutral-skeptical,
e1-0-grimacing-face,😬,E1.0 grimacing face,1F62C,smileys-emotion,face-neutral-skeptical,
e13-1-face-exhaling,😮‍💨,E13.1 face exhaling,1F62E 200D 1F4A8,smileys-emotion,face-neutral-skeptical,
e3-0-lying-face,🤥,E3.0 lying face,1F925,smileys-emotion,face-neutral-skeptical,
e15-0-shaking-face,🫨,E15.0 shaking face,1FAE8,smileys-emotion,face-neutral-skeptical,
e0-6-relieved-face,😌,E0.6 relieved face,1F60C,smileys-emotion,face-sleepy,
e0-6-pensive-face,😔,E0.6 pensive face,1F614,smileys-emotion,face-sleepy,
e0-6-sleepy-face,😪,E0.6 sleepy face,1F62A,smileys-emotion,face-sleepy,
e3-0-drooling-face,🤤,E3.0 drooling face,1F924,smileys-emotion,face-sleepy,
e1-0-sleeping-face,😴,E1.0 sleeping face,1F634,smileys-emotion,face-sleepy,
e0-6-face-with-medical-mask,😷,E0.6 face with medical mask,1F637,smileys-emotion,face-unwell,
e1-0-face-with-thermometer,🤒,E1.0 face with thermometer,1F912,smileys-emotion,face-unwell,
e1-0-face-with-head-bandage,🤕,E1.0 face with head-bandage,1F915,smileys-emotion,face-unwell,
e3-0-nauseated-face,🤢,E3.0 nauseated face,1F922,smileys-emotion,face-unwell,
e5-0-face-vomiting,🤮,E5.0 face vomiting,1F92E,smileys-emotion,face-unwell,
e3-0-sneezing-face,🤧,E3.0 sneezing face,1F927,smileys-emotion,face-unwell,
e11-0-hot-face,🥵,E11.0 hot face,1F975,smileys-emotion,face-unwell,
e11-0-cold-face,🥶,E11.0 cold face,1F976,smileys-emotion,face-unwell,
e11-0-woozy-face,🥴,E11.0 woozy face,1F974,smileys-emotion,face-unwell,
e0-6-face-with-crossed-out-eyes,😵,E0.6 face with crossed-out eyes,1F635,smileys-emotion,face-unwell,"[{'slug': 'e13-1-face-with-spiral-eyes', 'character': '😵\u200d💫'}]"
e5-0-exploding-head,🤯,E5.0 exploding head,1F92F,smileys-emotion,face-unwell,
e3-0-cowboy-hat-face,🤠,E3.0 cowboy hat face,1F920,smileys-emotion,face-hat,
e11-0-partying-face,🥳,E11.0 partying face,1F973,smileys-emotion,face-hat,
e13-0-disguised-face,🥸,E13.0 disguised face,1F978,smileys-emotion,face-hat,
e1-0-smiling-face-with-sunglasses,😎,E1.0 smiling face with sunglasses,1F60E,smileys-emotion,face-glasses,
e1-0-nerd-face,🤓,E1.0 nerd face,1F913,smileys-emotion,face-glasses,
e5-0-face-with-monocle,🧐,E5.0 face with monocle,1F9D0,smileys-emotion,face-glasses,
e1-0-confused-face,😕,E1.0 confused face,1F615,smileys-emotion,face-concerned,
e14-0-face-with-diagonal-mouth,🫤,E14.0 face with diagonal mouth,1FAE4,smileys-emotion,face-concerned,
e1-0-worried-face,😟,E1.0 worried face,1F61F,smileys-emotion,face-concerned,
e1-0-slightly-frowning-face,🙁,E1.0 slightly frowning face,1F641,smileys-emotion,face-concerned,
e0-7-frowning-face,☹️,E0.7 frowning face,2639 FE0F,smileys-emotion,face-concerned,
e1-0-face-with-open-mouth,😮,E1.0 face with open mouth,1F62E,smileys-emotion,face-concerned,
e1-0-hushed-face,😯,E1.0 hushed face,1F62F,smileys-emotion,face-concerned,
e0-6-astonished-face,😲,E0.6 astonished face,1F632,smileys-emotion,face-concerned,
e0-6-flushed-face,😳,E0.6 flushed face,1F633,smileys-emotion,face-concerned,
e11-0-pleading-face,🥺,E11.0 pleading face,1F97A,smileys-emotion,face-concerned,
e14-0-face-holding-back-tears,🥹,E14.0 face holding back tears,1F979,smileys-emotion,face-concerned,
e1-0-frowning-face-with-open-mouth,😦,E1.0 frowning face with open mouth,1F626,smileys-emotion,face-concerned,
e1-0-anguished-face,😧,E1.0 anguished face,1F627,smileys-emotion,face-concerned,
e0-6-fearful-face,😨,E0.6 fearful face,1F628,smileys-emotion,face-concerned,
e0-6-anxious-face-with-sweat,😰,E0.6 anxious face with sweat,1F630,smileys-emotion,face-concerned,
e0-6-sad-but-relieved-face,😥,E0.6 sad but relieved face,1F625,smileys-emotion,face-concerned,
e0-6-crying-face,😢,E0.6 crying face,1F622,smileys-emotion,face-concerned,
e0-6-loudly-crying-face,😭,E0.6 loudly crying face,1F62D,smileys-emotion,face-concerned,
e0-6-face-screaming-in-fear,😱,E0.6 face screaming in fear,1F631,smileys-emotion,face-concerned,
e0-6-confounded-face,😖,E0.6 confounded face,1F616,smileys-emotion,face-concerned,
e0-6-persevering-face,😣,E0.6 persevering face,1F623,smileys-emotion,face-concerned,
e0-6-disappointed-face,😞,E0.6 disappointed face,1F61E,smileys-emotion,face-concerned,
e0-6-downcast-face-with-sweat,😓,E0.6 downcast face with sweat,1F613,smileys-emotion,face-concerned,
e0-6-weary-face,😩,E0.6 weary face,1F629,smileys-emotion,face-concerned,
e0-6-tired-face,😫,E0.6 tired face,1F62B,smileys-emotion,face-concerned,
e12-0-yawning-face,🥱,E12.0 yawning face,1F971,smileys-emotion,face-concerned,
e0-6-face-with-steam-from-nose,😤,E0.6 face with steam from nose,1F624,smileys-emotion,face-negative,
e0-6-enraged-face,😡,E0.6 enraged face,1F621,smileys-emotion,face-negative,
e0-6-angry-face,😠,E0.6 angry face,1F620,smileys-emotion,face-negative,
e5-0-face-with-symbols-on-mouth,🤬,E5.0 face with symbols on mouth,1F92C,smileys-emotion,face-negative,
e1-0-smiling-face-with-horns,😈,E1.0 smiling face with horns,1F608,smileys-emotion,face-negative,
e0-6-angry-face-with-horns,👿,E0.6 angry face with horns,1F47F,smileys-emotion,face-negative,
e0-6-skull,💀,E0.6 skull,1F480,smileys-emotion,face-negative,
e1-0-skull-and-crossbones,☠️,E1.0 skull and crossbones,2620 FE0F,smileys-emotion,face-negative,
e0-6-pile-of-poo,💩,E0.6 pile of poo,1F4A9,smileys-emotion,face-costume,
e3-0-clown-face,🤡,E3.0 clown face,1F921,smileys-emotion,face-costume,
e0-6-ogre,👹,E0.6 ogre,1F479,smileys-emotion,face-costume,
e0-6-goblin,👺,E0.6 goblin,1F47A,smileys-emotion,face-costume,
e0-6-ghost,👻,E0.6 ghost,1F47B,smileys-emotion,face-costume,
e0-6-alien,👽,E0.6 alien,1F47D,smileys-emotion,face-costume,
e0-6-alien-monster,👾,E0.6 alien monster,1F47E,smileys-emotion,face-costume,
e1-0-robot,🤖,E1.0 robot,1F916,smileys-emotion,face-costume,
e0-6-grinning-cat,😺,E0.6 grinning cat,1F63A,smileys-emotion,cat-face,
e0-6-grinning-cat-with-smiling-eyes,😸,E0.6 grinning cat with smiling eyes,1F638,smileys-emotion,cat-face,
e0-6-cat-with-tears-of-joy,😹,E0.6 cat with tears of joy,1F639,smileys-emotion,cat-face,
e0-6-smiling-cat-with-heart-eyes,😻,E0.6 smiling cat with heart-eyes,1F63B,smileys-emotion,cat-face,
e0-6-cat-with-wry-smile,😼,E0.6 cat with wry smile,1F63C,smileys-emotion,cat-face,
e0-6-kissing-cat,😽,E0.6 kissing cat,1F63D,smileys-emotion,cat-face,
e0-6-weary-cat,🙀,E0.6 weary cat,1F640,smileys-emotion,cat-face,
e0-6-crying-cat,😿,E0.6 crying cat,1F63F,smileys-emotion,cat-face,
e0-6-pouting-cat,😾,E0.6 pouting cat,1F63E,smileys-emotion,cat-face,
e0-6-see-no-evil-monkey,🙈,E0.6 see-no-evil monkey,1F648,smileys-emotion,monkey-face,
e0-6-hear-no-evil-monkey,🙉,E0.6 hear-no-evil monkey,1F649,smileys-emotion,monkey-face,
e0-6-speak-no-evil-monkey,🙊,E0.6 speak-no-evil monkey,1F64A,smileys-emotion,monkey-face,
e0-6-love-letter,💌,E0.6 love letter,1F48C,smileys-emotion,heart,
e0-6-heart-with-arrow,💘,E0.6 heart with arrow,1F498,smileys-emotion,heart,
e0-6-heart-with-ribbon,💝,E0.6 heart with ribbon,1F49D,smileys-emotion,heart,
e0-6-sparkling-heart,💖,E0.6 sparkling heart,1F496,smileys-emotion,heart,
e0-6-growing-heart,💗,E0.6 growing heart,1F497,smileys-emotion,heart,
e0-6-beating-heart,💓,E0.6 beating heart,1F493,smileys-emotion,heart,
e0-6-revolving-hearts,💞,E0.6 revolving hearts,1F49E,smileys-emotion,heart,
e0-6-two-hearts,💕,E0.6 two hearts,1F495,smileys-emotion,heart,
e0-6-heart-decoration,💟,E0.6 heart decoration,1F49F,smileys-emotion,heart,
e1-0-heart-exclamation,❣️,E1.0 heart exclamation,2763 FE0F,smileys-emotion,heart,
e0-6-broken-heart,💔,E0.6 broken heart,1F494,smileys-emotion,heart,
e13-1-heart-on-fire,❤️‍🔥,E13.1 heart on fire,2764 FE0F 200D 1F525,smileys-emotion,heart,
e13-1-mending-heart,❤️‍🩹,E13.1 mending heart,2764 FE0F 200D 1FA79,smileys-emotion,heart,
e0-6-red-heart,❤️,E0.6 red heart,2764 FE0F,smileys-emotion,heart,
